area,theme,topic,learning_objective
Analytics and Modeling,Space-Time Analysis & Modeling,Computational Movement Analysis,"Name key visual analytics approaches for analyzing movement data, and list their properties and limitations."
Analytics and Modeling,Space-Time Analysis & Modeling,Computational Movement Analysis,Sketch the most important conceptual data models and data structures for movement spaces and respective movement traces. Discuss opportunities and limitations of the above models and structures for the conceptualization of specific movement patterns.
Analytics and Modeling,Space-Time Analysis & Modeling,GIS-Based Computational Modeling,"Be able to give examples of how models are used in simulations, and how their accuracy and uncertainty can be measured and communicated."
Analytics and Modeling,Space-Time Analysis & Modeling,GIS-Based Computational Modeling,"Explain the critical phases of modeling: design, implementation, calibration, sensitivity analysis, validation and error analysis."
Analytics and Modeling,Space-Time Analysis & Modeling,GIS-Based Computational Modeling,"Know that GIS and computational models are linked in different ways, from tight to loose coupling."
Analytics and Modeling,Space-Time Analysis & Modeling,GIS-Based Computational Modeling,Recognize that models can be both static (in place) and dynamic (in time) and give examples of each.
Analytics and Modeling,Space-Time Analysis & Modeling,GIS-Based Computational Modeling,"See why scenario-based planning, informed by modeling, is an important tool across Geography."
Analytics and Modeling,Space-Time Analysis & Modeling,GIS-Based Computational Modeling,"Understand that models have a range of meaning, from conceptual to mathematical and computational."
Analytics and Modeling,Space-Time Analysis & Modeling,GIS-Based Computational Modeling,"Understand the different model types, and their application methods."
Analytics and Modeling,Space-Time Analysis & Modeling,GIS-Based Computational Modeling,"Value the importance of tools that make models more shared, such as open source software and common code libraries."
Analytics and Modeling,Space-Time Analysis & Modeling,Time Geography,"Choose appropriate representations of time based on the behavior type of a dynamic system (among static, oscillating, chaotic and stochastic)."
Analytics and Modeling,Space-Time Analysis & Modeling,Time Geography,"Compare and contrast discrete, continuous, and spacetime perspectives of time to model dynamics in geographical phenomena and human-environment interactions"
Analytics and Modeling,Space-Time Analysis & Modeling,Time Geography,Compare different temporal resolutions of spatio-temporal data
Analytics and Modeling,Space-Time Analysis & Modeling,Time Geography,"Demonstrate awareness of current advance in collecting, managing and analyzing spatio-temporal data"
Analytics and Modeling,Space-Time Analysis & Modeling,Time Geography,"Describe how calendar time, clock time, and world time is defined and measured"
Analytics and Modeling,Space-Time Analysis & Modeling,Time Geography,Differentiate between phenomenological and mathematical theories of the nature of time
Analytics and Modeling,Space-Time Analysis & Modeling,Time Geography,"Exemplify ordinal, linear, cyclical frames of reference and the temporal relationships"
Analytics and Modeling,Space-Time Analysis & Modeling,Time Geography,Recognize the roles of time in “static” and “dynamic” GISystems
Analytics and Modeling,Surface & Field Analysis,Core Concepts in Geostatistics,
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,"Compare and contrast interpolation by inverse distance weighting, bi-cubic spline fitting, and kriging"
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,Describe how surfaces can be interpolated using splines
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,Design an algorithm that interpolates irregular point elevation data onto a regular grid
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,Differentiate between trend surface analysis and deterministic spatial interpolation
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,"Discuss the pitfalls of using secondary data that has been generated using interpolations (e.g., Level 1 USGS DEMs)"
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,"Estimate a value between two known values using linear interpolation (e.g., spot elevations, population between census years)"
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,Explain how the elevation values in a digital elevation model (DEM) are derived by interpolation from irregular arrays of spot elevations
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,Explain why different interpolation algorithms produce different results and suggest ways by which these can be evaluated in the context of a specific problem
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,Identify the spatial concepts that are assumed in different interpolation algorithms
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,Implement a trend surface analysis using either the supplied function in a GIS or a regression function from any standard statistical package
Analytics and Modeling,Surface & Field Analysis,Deterministic Interpolation Models,"Outline algorithms to produce repeatable contour-type lines from point datasets using proximity polygons, spatial averages, or inverse distance weighting"
Analytics and Modeling,Surface & Field Analysis,"Gridding, Interpolation, and Contouring",
Analytics and Modeling,Surface & Field Analysis,Intervisibility,Define “intervisibility”
Analytics and Modeling,Surface & Field Analysis,Intervisibility,Explain the sources and impact of errors that affect intervisibility analyses
Analytics and Modeling,Surface & Field Analysis,Intervisibility,Outline an algorithm to determine the viewshed (area visible) from specific locations on surfaces specified by DEMs
Analytics and Modeling,Surface & Field Analysis,Intervisibility,"Perform siting analyses using specified visibility, slope, and other surface related constraints"
Analytics and Modeling,Surface & Field Analysis,Inverse Distance Weighting,
Analytics and Modeling,Surface & Field Analysis,Kriging Interpolation,Compare and contrast block-kriging with areal interpolation using proportional area weighting
Analytics and Modeling,Surface & Field Analysis,Kriging Interpolation,Describe the relationship between the semi-variogram and kriging
Analytics and Modeling,Surface & Field Analysis,Kriging Interpolation,Explain how block-kriging and its variants can be used to combine data sets with different spatial resolution (support)
Analytics and Modeling,Surface & Field Analysis,Kriging Interpolation,"Explain the concept of the kriging variance, and describe some of its shortcomings"
Analytics and Modeling,Surface & Field Analysis,Kriging Interpolation,Explain why it is important to have a good model of the semi-variogram in kriging
Analytics and Modeling,Surface & Field Analysis,Kriging Interpolation,Explain why kriging is more suitable as an interpolation method in some applications than others
Analytics and Modeling,Surface & Field Analysis,Kriging Interpolation,Outline the basic kriging equations in their matrix formulation
Analytics and Modeling,Surface & Field Analysis,Modeling Surfaces,Design an algorithm that calculates slope and aspect from a triangulated irregular network (TIN) model
Analytics and Modeling,Surface & Field Analysis,Modeling Surfaces,Explain how slope and aspect can be represented as the vector field given by the first derivative of height
Analytics and Modeling,Surface & Field Analysis,Modeling Surfaces,Explain why the properties of spatial continuity are characteristic of spatial surfaces
Analytics and Modeling,Surface & Field Analysis,Modeling Surfaces,"Explain why zero slopes are indicative of surface specific points such as peaks, pits, and passes, and list the conditions necessary for each"
Analytics and Modeling,Surface & Field Analysis,Modeling Surfaces,List the likely sources of error in slope and aspect maps derived from digital elevation models (DEMs) and state the circumstances under which these can be very severe
Analytics and Modeling,Surface & Field Analysis,Modeling Surfaces,Outline a number of different methods for calculating slope from a DEM
Analytics and Modeling,Surface & Field Analysis,Modeling Surfaces,Outline how higher order derivatives of height can be interpreted
Analytics and Modeling,Surface & Field Analysis,Polynomial Functions,
Analytics and Modeling,Surface & Field Analysis,Radial Basis & Spline Functions,
Analytics and Modeling,Surface & Field Analysis,Surface Geometry,
Analytics and Modeling,Surface & Field Analysis,Triangulation,
Analytics and Modeling,Surface & Field Analysis,Watersheds & Drainage,
Cartography and Visualization,Data Considerations:,"Metadata, Quality, & Uncertainty","Compare the decisions made using a map with a reliability overlay from those made using a map pair separating data and reliability, both drawn from the same dataset"
Cartography and Visualization,Data Considerations:,"Metadata, Quality, & Uncertainty",Critique the assumption that maps can or should be “accurate”
Cartography and Visualization,Data Considerations:,"Metadata, Quality, & Uncertainty","Describe a scenario in which possible errors in a map may impact subsequent decision making, such as a land use decision based on a soils map"
Cartography and Visualization,Data Considerations:,"Metadata, Quality, & Uncertainty",Evaluate the uncertainty inherent in a map
Cartography and Visualization,Data Considerations:,Raster Formats & Sources,Compare and contrast the file formats suited to presentation of maps on the Web to those suited to print publication in high resolution contexts.
Cartography and Visualization,Data Considerations:,Raster Formats & Sources,"Critique typographic integrity in export formats with respect to resolution and anti-aliasing (e.g., some file export processes break type into letters degrading searchability, font processing, and reliability of Raster Image Processing)."
Cartography and Visualization,Data Considerations:,Raster Formats & Sources,Design the same map for CMYK publication in a book and RGB presentation on a high-DPI mobile device.
Cartography and Visualization,Data Considerations:,Raster Formats & Sources,"Differentiate among the various raster map outputs (JPEG, GIF, TIFF) and various vector formats (PDF, SVG) on image quality and file size at high and low resolutions."
Cartography and Visualization,Data Considerations:,Vector Formats & Sources,"Assess the data quality of a source dataset for appropriateness for a given mapping task, including an evaluation of the data resolution, extent, currency or date of compilation, and level of generalization in the attribute classification."
Cartography and Visualization,Data Considerations:,Vector Formats & Sources,Compare and contrast two vector data formats for use in a web/mobile map.
Cartography and Visualization,Data Considerations:,Vector Formats & Sources,Convert a dataset from one format to another using two different conversion tools and describe the differences between the processes.
Cartography and Visualization,Data Considerations:,Vector Formats & Sources,Design a map that combines three or more vector data sources.
Cartography and Visualization,Data Considerations:,Vector Formats & Sources,Explain the difference between georelational and object-based data.
Cartography and Visualization,Data Considerations:,Vector Formats & Sources,Explain the main characteristics of vector data formats
Cartography and Visualization,Data Considerations:,Vector Formats & Sources,List the most common vector data formats.
Cartography and Visualization,History & Trends:,Cartography & Art,Identify the main historical markers in the relationships between art and cartography
Cartography and Visualization,History & Trends:,Cartography & Art,"Identify the political motivations of map art, evaluating its impact on contemporary issues, such as colonialism, cultural identities and globalization."
Cartography and Visualization,History & Trends:,Cartography & Art,Understand the multiple relationships that exist between art and cartography
Cartography and Visualization,History & Trends:,Cartography & Education,
Cartography and Visualization,History & Trends:,Cartography & Power,Create two visualizations of the same area – one meant to be used for advertising in a tourist brochure and one meant to analyze public health and safety concerns.
Cartography and Visualization,History & Trends:,Cartography & Power,"Deconstruct a map of an area you know well to find silences, blindspots, and moments of contradiction that reveal larger power structures ."
Cartography and Visualization,History & Trends:,Cartography & Power,Describe how all maps are produced within relations of power and knowledge. Describe how all maps also express specific relations of power and knowledge.
Cartography and Visualization,History & Trends:,Cartography & Power,Identify and critique a map created through surveillant approaches to map making. Identify and critique a map created through sousveillant or participatory approaches.
Cartography and Visualization,History & Trends:,Cartography & Power,Identify and critique a map using one of the approaches to understanding the power of maps from the entry.
Cartography and Visualization,History & Trends:,Cartography & Power,Identify how different methods of data classification for a single dataset can produce different visualizations that will influence users differently.
Cartography and Visualization,History & Trends:,Cartography & Power,"Understand how decisions in the design of a map, and the underlying data from which a map draws, affect what users can know from the map"
Cartography and Visualization,History & Trends:,Cartography & Science,"Compare and contrast cartographic developments in various countries and world regions such as Switzerland, France, China, the Middle East, and Greece"
Cartography and Visualization,History & Trends:,Cartography & Science,"Describe how compilation, production, and distribution methods used in map-making have evolved"
Cartography and Visualization,History & Trends:,Cartography & Science,Describe how symbolization methods used in map-making have evolved
Cartography and Visualization,History & Trends:,Cartography & Science,"Describe the contributions by Robinson, Jenks, Raisz, and others to U.S. academic cartography"
Cartography and Visualization,History & Trends:,Cartography & Science,"Discuss the influence of some cartographers of the 16th and 17th centuries (Mercator, Ortelius, Jansson, Homann and others)"
Cartography and Visualization,History & Trends:,Cartography & Science,Discuss the perspectives of Brian Harley and others on the political motivation for the development of certain kinds of maps
Cartography and Visualization,History & Trends:,Cartography & Science,Discuss the relationship between the history of exploration and the development of a more accurate map of the world
Cartography and Visualization,History & Trends:,Cartography & Science,"Discuss the Swiss influence on map design and production, highlighting Imhof’s contributions"
Cartography and Visualization,History & Trends:,Cartography & Science,Explain how Bertin has influenced trends in cartographic symbolization
Cartography and Visualization,History & Trends:,Cartography & Science,Explain how technological changes have affected cartographic design and production
Cartography and Visualization,History & Trends:,Cartography & Science,Explain the impact of advances in visualization methods on the evolution of cartography
Cartography and Visualization,History & Trends:,Cartography & Science,"Outline the development of some of the major map projections (e.g., Mercator, Gnomonic, Robinson)"
Cartography and Visualization,History & Trends:,Cartography & Technology,Discuss the impact that mapping on the Web via applications such as Google Earth have had on the practice of cartography
Cartography and Visualization,History & Trends:,Cartography & Technology,Evaluate the advantages and limitations of various technological approaches to mapping
Cartography and Visualization,History & Trends:,Cartography & Technology,"Explain how emerging technologies in related fields (e.g., the stereoplotter, aerial and satellite imagery, GPS and LiDAR, the World Wide Web, immersive and virtual environments) have advanced cartography and visualization methods"
Cartography and Visualization,History & Trends:,Cartography & Technology,Explain how MacEachren’s Cartography-cubed (C3) concept can be used to understand the evolving role of cartography and visualization
Cartography and Visualization,History & Trends:,Cartography & Technology,"Explain how software innovations such as Synagraphic Mapping System (SYMAP), Surfer, and automated contouring methods have affected the design of maps"
Cartography and Visualization,History & Trends:,Cartography & Technology,Select new technologies in related fields that have the most potential for use in cartography and visualization
Cartography and Visualization,Interactive Design Techniques:,Basemaps,
Cartography and Visualization,Interactive Design Techniques:,Big Data Visualization,"Critique a big data visualization by how well it overcame computational, visual, and ethical challenges"
Cartography and Visualization,Interactive Design Techniques:,Big Data Visualization,Describe the characteristics of big data and the differences between ‘small’ data and big data.
Cartography and Visualization,Interactive Design Techniques:,Big Data Visualization,Develop a visualization for the exploration and analysis of big data
Cartography and Visualization,Interactive Design Techniques:,Big Data Visualization,Evaluate how visualization may be employed to generate new knowledge from a (big) dataset
Cartography and Visualization,Interactive Design Techniques:,Big Data Visualization,Explain how visualization of geographic big data can be used in two different modes: for visual communication and visual thinking.
Cartography and Visualization,Interactive Design Techniques:,Geovisual Analytics,Describe the evolution of geovisual analytics as a sub-field in GIScience and its linkages to fields outside of Geography.
Cartography and Visualization,Interactive Design Techniques:,Geovisual Analytics,Design and implement a geovisual analytics system using a user-centered design approach.
Cartography and Visualization,Interactive Design Techniques:,Geovisual Analytics,Explain the key characteristics of geovisual analytics.
Cartography and Visualization,Interactive Design Techniques:,Geovisual Analytics,Propose and justify potential problem contexts for the application of geovisual analytics.
Cartography and Visualization,Interactive Design Techniques:,Geovisualization,"Identify the characteristics of geovisualization as a process, and relate these characteristics to modern day mapping systems and map use"
Cartography and Visualization,Interactive Design Techniques:,Geovisualization,"Understand how geovisualization is defined, differentiate between the different ways in which the term geovisualization is used"
Cartography and Visualization,Interactive Design Techniques:,Geovisualization,"Understand the relevant abilities, skills, and literacy in successfully working with geovisualization environments"
Cartography and Visualization,Interactive Design Techniques:,Geovisualization,Use a geovisualization application to explore a geospatial dataset. Note the geographic insights you find and hypotheses worth pursuing with additional analysis and visualization
Cartography and Visualization,Interactive Design Techniques:,Mobile Maps & Responsive Design,Compare and contrast the relative advantages and limitations of mobile apps versus responsive web maps.
Cartography and Visualization,Interactive Design Techniques:,Mobile Maps & Responsive Design,Describe the core concepts of responsive web design as they apply to cartography and visualization.
Cartography and Visualization,Interactive Design Techniques:,Mobile Maps & Responsive Design,Describe the technological enablements and constraints that make mobile a unique design context for cartography and visualization.
Cartography and Visualization,Interactive Design Techniques:,Mobile Maps & Responsive Design,Design a responsive web map that works on both mobile and non-mobile devices.
Cartography and Visualization,Interactive Design Techniques:,Mobile Maps & Responsive Design,Evaluate a mobile map by emerging mobile-first representation and interaction design conventions.
Cartography and Visualization,Interactive Design Techniques:,Usability Engineering & Evaluation,"Compare and contrast different kinds of evaluation methods for cartography and visualization (e.g., qualitative versus quantitative, formative versus summative studies)."
Cartography and Visualization,Interactive Design Techniques:,Usability Engineering & Evaluation,"Describe the differences between usability, utility, and user needs as applied to cartography and visualization."
Cartography and Visualization,Interactive Design Techniques:,Usability Engineering & Evaluation,Design and implement a series of evaluations to (iteratively) evaluate the usability of (geospatial) products.
Cartography and Visualization,Interactive Design Techniques:,Usability Engineering & Evaluation,Determine which methods you can use in a mixed method setting to derive user needs and characteristics for an interactive mapping project.
Cartography and Visualization,Interactive Design Techniques:,Usability Engineering & Evaluation,Evaluate the usability of an interactive map or visualization according to how the representation and interface features support user stated needs.
Cartography and Visualization,Interactive Design Techniques:,Usability Engineering & Evaluation,Schedule a user-centered design process for acquiring feedback from target users throughout design and development.
Cartography and Visualization,Interactive Design Techniques:,Usability Engineering & Evaluation,Understand the basics of usability engineering approaches.
Cartography and Visualization,Interactive Design Techniques:,User Interface and User Experience (UI/UX) Design,Deconstruct an interactive map into its basic interaction primitives.
Cartography and Visualization,Interactive Design Techniques:,User Interface and User Experience (UI/UX) Design,"Describe a user need for the following interaction operators: panning, zooming, overview reexpression, filtering, detail retrieval, etc."
Cartography and Visualization,Interactive Design Techniques:,User Interface and User Experience (UI/UX) Design,"Describe traditional and emerging use cases for interactivity in cartography and visualization (e.g., exploration, analytics, presentation)."
Cartography and Visualization,Interactive Design Techniques:,User Interface and User Experience (UI/UX) Design,Design an interactive map suitable for a given set of user needs.
Cartography and Visualization,Interactive Design Techniques:,User Interface and User Experience (UI/UX) Design,"Evaluate an interactive map design by UI/UX design recommendations (e.g., affordances/feedback, interface complexity, interface styles, design heuristics)."
Cartography and Visualization,Interactive Design Techniques:,User Interface and User Experience (UI/UX) Design,Walkthrough the stages of interaction using different interface controls in an interactive map and identify potential breakdowns and solutions.
Cartography and Visualization,Interactive Design Techniques:,Virtual & Immersive Environments,"Compare and contrast the relative advantages of different immersive display systems used for cartographic visualization (e.g., CAVEs, GeoWalls)"
Cartography and Visualization,Interactive Design Techniques:,Virtual & Immersive Environments,"Discuss the nature and use of virtual environments, such as Google Earth"
Cartography and Visualization,Interactive Design Techniques:,Virtual & Immersive Environments,Evaluate the extent to which a GeoWall or CAVE does or does not enhance understanding of spatial data
Cartography and Visualization,Interactive Design Techniques:,Virtual & Immersive Environments,"Explain how the virtual and immersive environments become increasingly more complex as we move from the relatively non-immersive VRML desktop environment to a stereoscopic display (e.g., a GeoWall) to a more fully immersive CAVE"
Cartography and Visualization,Interactive Design Techniques:,Virtual & Immersive Environments,Explain how various data formats and software and hardware environments support immersive visualization
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,"Critique the usability of existing web maps, including visual design choices, user interface, and interaction affordances and feedbacks."
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,"Design, construct, and publish an interactive web map."
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,Determine a web map's intended purpose and assess its use of visual hierarchy and interaction based on that purpose.
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,Explain client-server network architecture.
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,Explain how a tiled map mashup is created.
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,"Format the styling, text, layout, image resolution, and file type of a static map so that it can be included in a well-designed web page."
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,"Identify examples of static, animated, and interactive web maps."
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,"Identify the sources of data, representation, and animation or interaction in an example web map and the roles played by each."
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,Publish a web map service or web map tile service.
Cartography and Visualization,Interactive Design Techniques:,Web Mapping,Use a geospatial web service in a map or GIS project.
Cartography and Visualization,Map Design Fundamentals:,Color Theory,Compare and contrast different color models by their purposes and gamuts.
Cartography and Visualization,Map Design Fundamentals:,Color Theory,Critique a map based on the real-world and cross-cultural connotations evoked by the color selections on maps.
Cartography and Visualization,Map Design Fundamentals:,Color Theory,Design a map taking into account the range of factors that should be considered in selecting colors.
Cartography and Visualization,Map Design Fundamentals:,Color Theory,Discuss the perceptual basis for color.•Understand: Select colors appropriate for map readers with color limitations.
Cartography and Visualization,Map Design Fundamentals:,Color Theory,"Select a color scheme (e.g., qualitative, sequential, diverging) that is appropriate for a given map purpose and variable."
Cartography and Visualization,Map Design Fundamentals:,Design and Aesthetics,"Compare and contrast the stylistic elements of different pastiche map styles (e.g., realism, minimalism, cartooning) by form, color, type, and texture."
Cartography and Visualization,Map Design Fundamentals:,Design and Aesthetics,"Deconstruct of a map’s stylistic choices regarding form, color, type, and texture."
Cartography and Visualization,Map Design Fundamentals:,Design and Aesthetics,"Define cartographic design, differentiating four different usages of the word."
Cartography and Visualization,Map Design Fundamentals:,Design and Aesthetics,Differentiate between the words style and aesthetic.
Cartography and Visualization,Map Design Fundamentals:,Design and Aesthetics,"Modify the style of a map to mimic another style (pastiche) regarding form, color, type, and texture."
Cartography and Visualization,Map Design Fundamentals:,Map Production and Management,"Create a project plan for a map, from planning to closing."
Cartography and Visualization,Map Design Fundamentals:,Map Production and Management,Describe the importance of the audience and the intention at the beginning of any project.
Cartography and Visualization,Map Design Fundamentals:,Map Production and Management,Evaluate a completed map identifying each of the “Planning” phases and how effectively the goals were achieved.
Cartography and Visualization,Map Design Fundamentals:,Map Production and Management,Walkthrough the “Planning” steps for a project that you have completed recently. Identify where better planning could have improved execution of your project.
Cartography and Visualization,Map Design Fundamentals:,Map Projections,"Compare multiple map projections to explain the difference in distortion patterns, and how the maps would be suited for different analysis or visualization purposes."
Cartography and Visualization,Map Design Fundamentals:,Map Projections,"Describe at least one technique for visualizing distortion (e.g.,  Tissot’s indicatrices, or continuous distortion surfaces) and use it to visualize distortion."
Cartography and Visualization,Map Design Fundamentals:,Map Projections,Describe the geometric properties of the globe that may be distorted in the map projection process.
Cartography and Visualization,Map Design Fundamentals:,Map Projections,Design a thematic map that uses a map projection appropriate to the theme and map purpose.
Cartography and Visualization,Map Design Fundamentals:,Map Projections,"Identify and describe the distortion pattern in a specific map projection using a common visualization method (e.g., Tissot’s indicatrices) or distortion surface."
Cartography and Visualization,Map Design Fundamentals:,Scale & Generalization,Apply appropriate generalization operators to change the display of map data to a smaller scale.
Cartography and Visualization,Map Design Fundamentals:,Scale & Generalization,"Create a generalized dataset for mapping at 1:1,000,000 from topographic data compiled for 1:24,000 mapping."
Cartography and Visualization,Map Design Fundamentals:,Scale & Generalization,Differentiate between model generalization and cartographic generalization.
Cartography and Visualization,Map Design Fundamentals:,Scale & Generalization,Discuss the limitations of current technological approaches to generalization for mapping purposes.
Cartography and Visualization,Map Design Fundamentals:,Scale & Generalization,Explain why the reduction of map scale sometimes results in the need for mapped features to be reduced in size and moved.
Cartography and Visualization,Map Design Fundamentals:,Scale & Generalization,"Identify mapping tasks that require each of the following: smoothing, aggregation, simplification, and displacement."
Cartography and Visualization,Map Design Fundamentals:,Scale & Generalization,Understand why generalization is necessary and ubiquitous in cartography and GIS.
Cartography and Visualization,Map Design Fundamentals:,"Statistical Mapping (Enumeration, Normalization, Classification)",Apply various techniques for normalizing data
Cartography and Visualization,Map Design Fundamentals:,"Statistical Mapping (Enumeration, Normalization, Classification)",Demonstrate how different classification schemes produce very different maps from a single set of interval- or ratio-level data
Cartography and Visualization,Map Design Fundamentals:,"Statistical Mapping (Enumeration, Normalization, Classification)","Discuss advantages and disadvantages of various data classification methods for choropleth mapping, including equal interval, quantiles, mean-standard deviation, natural breaks, and “optimal” methods"
Cartography and Visualization,Map Design Fundamentals:,"Statistical Mapping (Enumeration, Normalization, Classification)","Write algorithms to perform equal interval, quantiles, mean-standard deviation, natural breaks, and “optimal” classification for choropleth mapping"
Cartography and Visualization,Map Design Fundamentals:,Symbolization & the Visual Variables,Deconstruct and critique the symbol-referent relationship of a given map symbol.
Cartography and Visualization,Map Design Fundamentals:,Symbolization & the Visual Variables,"Describe the variables used in the symbolization of map data for visual, tactile, haptic, auditory, and dynamic displays."
Cartography and Visualization,Map Design Fundamentals:,Symbolization & the Visual Variables,Design a map with symbols that appropriately represent a given dataset and produces an effective visual hierarchy.
Cartography and Visualization,Map Design Fundamentals:,Symbolization & the Visual Variables,Design symbols that appropriately relate spatial dimension of mapped features to the level of measurement of the attribute information being mapped.
Cartography and Visualization,Map Design Fundamentals:,Symbolization & the Visual Variables,Evaluate the effectiveness of a map’s symbology based on the underlying nature of the data and the visual variables used to represent those data.
Cartography and Visualization,Map Design Fundamentals:,Typography,Adjust label properties to create an appropriate label hierarchy.
Cartography and Visualization,Map Design Fundamentals:,Typography,"Critique a typeface for a given map, analyzing what is appropriate and/or inappropriate about it."
Cartography and Visualization,Map Design Fundamentals:,Typography,Define the terms typeface and label.
Cartography and Visualization,Map Design Fundamentals:,Typography,"Differentiate between the components of a font: typeface, weight, compression, and posture."
Cartography and Visualization,Map Design Fundamentals:,Typography,"Explain how to label features having indeterminate boundaries (e.g., canyons, oceans)."
Cartography and Visualization,Map Design Fundamentals:,Typography,Explain the difference between typeface properties (microaesthetics) and label properties (visual variables).
Cartography and Visualization,Map Design Fundamentals:,Typography,"Identify personalities of typefaces, and the microaesthetics that contribute to them."
Cartography and Visualization,Map Design Fundamentals:,Typography,"Implement techniques to improve typeface and label legibility, and to disambiguate labels."
Cartography and Visualization,Map Design Fundamentals:,Typography,Modify typographic visual variables to graphically represent the type and attributes of geographic feature.
Cartography and Visualization,Map Design Fundamentals:,Visual Hierarchy & Layout,Apply one or more grouping or gestalt principles to achieve appropriate figure-ground for map elements.
Cartography and Visualization,Map Design Fundamentals:,Visual Hierarchy & Layout,"Critique the layout of several maps in terms of layout, balance, legibility, clarity, visual contrast, figure-ground organization, and hierarchal organization."
Cartography and Visualization,Map Design Fundamentals:,Visual Hierarchy & Layout,Describe methods for creating an intellectual and visual hierarchy in a map.
Cartography and Visualization,Map Design Fundamentals:,Visual Hierarchy & Layout,Describe methods for layout (horizontal arrangement) of elements in a map.
Cartography and Visualization,Map Design Fundamentals:,Visual Hierarchy & Layout,"Prepare different map layouts using the same map components (main map area, inset maps, titles, legends, scale bars, north arrows, grids, and graticule) to produce effective compartmentalized and fluid map layouts."
Cartography and Visualization,Map Design Fundamentals:,Visual Hierarchy & Layout,Prepare different maps using the same map components to produce maps with different purposes and distinctive intellectual and visual hierarchies.
Cartography and Visualization,Map Design Techniques:,Cartograms,"Compare and contrast the advantages and limitations of non-contiguous, contiguous, graphical/Demers/Dorling, and mosaic cartograms."
Cartography and Visualization,Map Design Techniques:,Cartograms,Critique examples of different types of cartograms by their relative success at communicating information.
Cartography and Visualization,Map Design Techniques:,Cartograms,Describe the different purposes that cartograms serve in relation to other thematic mapping techniques.
Cartography and Visualization,Map Design Techniques:,Cartograms,Design a range of cartograms to suit particular needs.
Cartography and Visualization,Map Design Techniques:,Common Thematic Maps,"Choose suitable mapping methods for each attribute of a given type of feature in a GIS (e.g., roads with various attributes such as surface type, traffic flow, number of lanes, direction such as one-way)"
Cartography and Visualization,Map Design Techniques:,Common Thematic Maps,"Create maps using each of the following methods: choropleth, dasymetric, proportioned symbol, graduated symbol, isoline, dot, cartogram, and flow"
Cartography and Visualization,Map Design Techniques:,Common Thematic Maps,"Create well-designed legends using the appropriate conventions for the following methods: choropleth, dasymetric, proportioned symbol, graduated symbol, isoline, dot, cartogram, and flow"
Cartography and Visualization,Map Design Techniques:,Common Thematic Maps,"Describe the design considerations for each of the following methods: choropleth, dasymetric, proportioned symbol, graduated symbol, isoline, dot, cartogram, and flow map"
Cartography and Visualization,Map Design Techniques:,Common Thematic Maps,"Evaluate the strengths and limitations of each of the following methods: choropleth, dasymetric, proportioned symbol, graduated symbol, isoline, dot, cartogram, and flow map"
Cartography and Visualization,Map Design Techniques:,Common Thematic Maps,Explain why choropleth maps should (almost) never be used for mapping count data and suggest alternative methods for mapping count data
Cartography and Visualization,Map Design Techniques:,Common Thematic Maps,"Select base information suited to providing a frame of reference for thematic map symbols (e.g., network of major roads and state boundaries underlying national population map)"
Cartography and Visualization,Map Design Techniques:,Flow Maps,Critique examples of different types of flow maps by their relative success at communicating information.
Cartography and Visualization,Map Design Techniques:,Flow Maps,Describe the different purposes that flow maps serve in relation to other thematic mapping techniques.
Cartography and Visualization,Map Design Techniques:,Flow Maps,Design a flow map to suit particular needs.
Cartography and Visualization,Map Design Techniques:,Flow Maps,Identify appropriate symbolization choices given the phenomenon being represented.
Cartography and Visualization,Map Design Techniques:,Flow Maps,Recognize and describe the distinction between different types of flow maps used in cartography and other fields.
Cartography and Visualization,Map Design Techniques:,Map Icon Design,Compare and contrast the types of icons used in map design
Cartography and Visualization,Map Design Techniques:,Map Icon Design,"Create a map icon library with a coherent aesthetic style, denoting their referents, which can be modified using other visual variables to encode additional information."
Cartography and Visualization,Map Design Techniques:,Map Icon Design,Critique a map icon library based on the culturally negotiated meanings imbued in the signs. Consider who or what may be excluded from the library.
Cartography and Visualization,Map Design Techniques:,Map Icon Design,"Define pictorial, associative, and abstract as these terms relate to icon design"
Cartography and Visualization,Map Design Techniques:,Map Icon Design,Explain the difference between mimetic and abstract icons
Cartography and Visualization,Map Design Techniques:,Map Icon Design,Illustrate how the visual variables are employed effectively in map icon design
