Competency,Topic,Sub-topic,Level,learning_objective
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",4. Impact analysis,Prerequisites (P),Explain how to perform impact analysis on logical database models.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",5. Data modeling tools,Prerequisites (P),Characterize the different data modeling tools used for logical database models.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",6. Visually representable,Prerequisites (P),Explain the difference between visually and non-visually representable logical database models.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",6. Visually representable,Prerequisites (P),Characterize the advantages and disadvantages of various logical database models.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",1. Precise use of ERD notation,Foundational (F),Summarize how Entity-Relational Diagram (ERD) notation is used when developing logical database models.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",2. Entities/attributes,Foundational (F),List the different entities and attributes used for logical database models.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",3. Data flow modeling,Foundational (F),Outline the key concepts of data flow modeling and explain their roles in logical database modeling.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",1. Converting schemas into a system design,Application (A),Characterize how different schemas are converted into a system design.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",1. How OOP languages can be used to structure and manage as database,MASTERY/UGP (M/U),Evaluate the benefits and limitations of using Object-Oriented Programming (OOP) languages.
GEOSPATIAL DATA MANAGEMENT,"T9. Logical Database Models (e.g., cardinality, incidental and structural relationships, storage requirements)",1. How OOP languages can be used to structure and manage as database,MASTERY/UGP (M/U),Evaluate the benefits and limitations of using Object-Oriented Programming (OOP) languages to design methods for structuring and managing logical database models.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",1. Based on logical database models,Prerequisites (P),Explain how physical database models are based on logical database models.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",2. Database design,Prerequisites (P),Summarize the concepts of database design and how each is used in physical database modeling.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",3. Database storage,Prerequisites (P),List the concepts of database storage and how each is used in physical database modeling.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",4. Database performance,Prerequisites (P),Summarize the concepts of database performance and when it is best to use the different types of physical database models.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",5. Data modeling tools,Prerequisites (P),Characterize the different data modeling tools and how they are used in physical databases.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",1. Precise use of Entity-Relational Diagram (ERD) notation,Foundational (F),Summarize how Entity-Relational Diagram (ERD) notation is used when developing physical database models.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",2. Entities/attributes,Foundational (F),List the different entities and attributes used for physical database models.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",3. Data flow modeling,Foundational (F),Outline the key concepts of data flow modeling and explain their roles in physical database modeling.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",1. Converting schemas into a system design,Application (A),Characterize how different schemas are converted into a system design.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",1. Object-Oriented Programming (OOP),MASTERY/UGP (M/U),Evaluate the benefits and limitations of using Object-Oriented Programming (OOP) languages in physical database modeling.
GEOSPATIAL DATA MANAGEMENT,"T10. Physical Database Models (e.g., software capabilities and limitations)",1. Ability to refine the database design in response to changes in data or purpose,MASTERY/UGP (M/U),Consider how database design changes in response to data or purpose in order to establish standards for refining databases.
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",1. What is a database schema,Prerequisites (P),Explain the uses and purposes of database schemas.
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",2. Entities versus attributes,Prerequisites (P),Differentiate entities and attributes and explain their roles in databases.
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",1. Hierarchical databases,Foundational (F),"Summarize the different database types (e.g., hierarchical, network, sequential, and relational) and explain how each is used."
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",2. Network databases,Foundational (F),
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",3. Sequential databases,Foundational (F),
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",4. Relational databases,Foundational (F),
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",1. Semantic databases,Application (A),Characterize when semantic databases should and should not be used.
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",1. Object-oriented databases,MASTERY/UGP (M/U),Evaluate current methods of constructing an object-oriented database to develop more efficient methods.
GEOSPATIAL DATA MANAGEMENT,"T11. Types of Databases (e.g., schema types)",2. Object-Oriented Programming (OOP),MASTERY/UGP (M/U),Evaluate the benefits and limitations of using Object-Oriented Programming (OOP) languages for each of the different database types.
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",1. What are the current limitations and scaling issues?,Prerequisites (P),"Summarize the current limitations and scaling issues of distributed databases (e.g., access restrictions, costs, synchronization, and replication, storage and services, etc.)."
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",2. Basic to advanced knowledge about data transfer,Prerequisites (P),"Demonstrate in-depth knowledge of data transfer from the basic to advanced level (e.g., services versus delivery)."
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",3. Scripting language for parallelism,Prerequisites (P),List the various scripting languages used in distributed databases.
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",3. Scripting language for parallelism,Prerequisites (P),Summarize the use of scripting languages for parallelism in distributed databases.
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",1. Data placement options,Foundational (F),Categorize the different data placement options and explain how each is used in distributed databases.
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",2. Transparencies in DDB,Foundational (F),Summarize the various transparencies in Distributed DataBases (DDB).
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",3. Two-phase commit,Foundational (F),Explain the concept of two-phase commit and summarize how it is used in distributed databases.
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",4. Global deadlock detection,Foundational (F),Explain how to use global deadlock detection in the context of distributed databases.
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)","1. Enterprise application integration tools (e.g., MuleSoft)",Application (A),"Compare/contrast the different types of enterprise application integration tools (e.g., MuleSoft) and explain their role in distributed databases."
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",2. RESTful tools,Application (A),Differentiate between the different types of REpresentational State Transfer (RESTful) tools and explain when each should be used with distributed databases.
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",1. Knowledge of the best course of action for storing and managing distributed data across the cloud platform and common limitations associated with remote data,MASTERY/UGP (M/U),Evaluate the current methods for storing and managing distributed data across cloud platforms to design more efficient methods to store and manage data.
GEOSPATIAL DATA MANAGEMENT,"T12. Distributed Databases (e.g., cloud databases)",1. Knowledge of the best course of action for storing and managing distributed data across the cloud platform and common limitations associated with remote data,MASTERY/UGP (M/U),"Dissect the common limitations associated with remote data (e.g., bandwidth, synchronization, storage, services, etc.) to design methods of improving the use of remote data in distributed databases."
GEOSPATIAL DATA MANAGEMENT,T13. Common Geospatial Database Tools,1. Fundamental database management,Prerequisites (P),"Compare/contrast fundamental database management concepts (e.g., cloud storage, file transfers and backups, encryption, file naming conventions and protocols, etc.)."
GEOSPATIAL DATA MANAGEMENT,T13. Common Geospatial Database Tools,"2. How to create, move, share, modify, remove and delete data and files in a typical file sharing system",Prerequisites (P),"Explain how to create, move, share, modify, remove, and delete data and files in a typical file sharing system."
GEOSPATIAL DATA MANAGEMENT,T13. Common Geospatial Database Tools,1. Knowledge of open source/ Commercial Off-The-Shelf (COTS) Geospatial Information Systems (GISs),Foundational (F),Summarize the key concepts of open source/Commercial Off-The-Shelf (COTS) Geospatial Information Systems (GIS).
GEOSPATIAL DATA MANAGEMENT,T13. Common Geospatial Database Tools,2. Knowledge of specific proprietary systems used by employer,Foundational (F),Categorize the different proprietary systems and explain when it is appropriate to use each.
GEOSPATIAL DATA MANAGEMENT,T13. Common Geospatial Database Tools,2. Knowledge of specific proprietary systems used by employer,Foundational (F),List the different proprietary systems and explain the various uses across employers.
GEOSPATIAL DATA MANAGEMENT,T13. Common Geospatial Database Tools,"3. How to create, move, share, modify, remove and delete data and files in a database",Foundational (F),"Explain the process of creating, moving, sharing, modifying, removing and deleting data and files in a database."
GEOSPATIAL DATA MANAGEMENT,T13. Common Geospatial Database Tools,1. Experience using multiple tools,Application (A),Summarize the different geospatial database tools and explain when each should be used.
GEOSPATIAL DATA MANAGEMENT,T13. Common Geospatial Database Tools,1. Automation options,MASTERY/UGP (M/U),Evaluate the different geospatial database automation options to design new methods of automation.
GEOSPATIAL DATA MANAGEMENT,"T14. Data Searching (e.g., query operations, query languages)",1. Knowledge of any query language,Prerequisites (P),"Explain the purpose and function of different query languages (e.g., Structure Query Language [SQL])."
GEOSPATIAL DATA MANAGEMENT,"T14. Data Searching (e.g., query operations, query languages)",2. Basic understanding of Structure Query Language (SQL),Prerequisites (P),"Summarize basic Structure Query Language (SQL) concepts including the purpose of SQL, how SQL functions, how to read and write SQL, and the benefits of SQL over ad-hoc queries."
GEOSPATIAL DATA MANAGEMENT,"T14. Data Searching (e.g., query operations, query languages)",2. Analytical skills,Prerequisites (P),"Summarize basic analytical skills including building queries, analyzing results of queries, categorization of data, and normalization of data."
GEOSPATIAL DATA MANAGEMENT,"T14. Data Searching (e.g., query operations, query languages)",1. Proficiency with Structure Query Language (SQL),Foundational (F),"Summarize basic Structure Query Language (SQL) skills including building queries, analyzing results of queries, categorization of data, and normalization of data."
GEOSPATIAL DATA MANAGEMENT,"T14. Data Searching (e.g., query operations, query languages)",1. Extensions to standard SQL,Application (A),Compare/contrast different data searching extensions to standard Structure Query Language (SQL) and explain when to use each.
GEOSPATIAL DATA MANAGEMENT,"T14. Data Searching (e.g., query operations, query languages)",1. NoSQL,MASTERY/UGP (M/U),Evaluate current methods of utilizing Not only Structure Query Language (NoSQL) when performing data searches and determine how the methods should be improved.
GEOSPATIAL DATA MANAGEMENT,"T14. Data Searching (e.g., query operations, query languages)",2. XQuery (XML Query),MASTERY/UGP (M/U),Evaluate current methods of utilizing XQuery (eXtensible Markup Language [XML] Query) when performing data searches and determine how the methods should be improved.
GEOSPATIAL DATA MANAGEMENT,"T14. Data Searching (e.g., query operations, query languages)","3. Study new SQL-based data management tools (e.g., MemSQL)",MASTERY/UGP (M/U),"Evaluate current and new Structure Query Language (SQL)-based data management tools (e.g., MemSQL) and develop standards of when each tool should be used."
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,1. Limitations of common tools and software when applied to big data,Prerequisites (P),"Summarize the limitations of common tools and software when applied to big data (e.g., storage, data processing, etc.)."
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,"2. The volatility of data (e.g., the rate of change)",Prerequisites (P),"Explain how the volatility of data (e.g., the rate of change) changes in different scenarios of big data management."
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,3. Understand current enterprise processing capacity,Prerequisites (P),Explain the concept of enterprise processing capacity and how it relates to big data management.
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,"1. Key characteristics are volume, velocity and variety.",Foundational (F),"Outline and define volume, velocity, and variety in relation to big data management."
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,1. Big data applications contributed to the growth of NoSQL databases,Application (A),Characterize how big data applications have contributed to the growth of Structure Query Language (NoSQL) databases.
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,1. NoSQL,MASTERY/UGP (M/U),Evaluate how Not only Structure Query Language (NoSQL) is utilized in big data management and determine how NoSQL can be used more effectively.
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,2. Study Tufte’s -The Visual Display of Quantitative Information,MASTERY/UGP (M/U),Critique traditional methods of understanding data meaning and explain how visual analysis may lead to a better understanding of data meaning.
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,3. Applications of artificial intelligence,MASTERY/UGP (M/U),Establish techniques for how artificial intelligence can be applied to big data management.
GEOSPATIAL DATA MANAGEMENT,T15. Big Data Management,4. Principles of data aggregation,MASTERY/UGP (M/U),Evaluate the principles of data aggregation and define more efficient and effective methods for application to big data.
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,1. Data sharing versus data delivery,Prerequisites (P),Distinguish between data sharing and data delivery.
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,2. Creator of data should be maintained,Prerequisites (P),Explain why it is important for the creator of data to also maintain the data and list the implications it could have if the creator is not the maintainer.
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,1. Archiving versus tiered storage approach,Foundational (F),Distinguish between the archiving and tiered approaches to storing data.
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,1. SQL,Application (A),Characterize when it is and is not appropriate to use SQL for data retrieval.
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,2. REST (for retrieval & dissemination),Application (A),Characterize when it is and is not appropriate to use REpresentational State Transfer (RESTful) services for retrieving and disseminating data.
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,3. Local storage versus cloud storage,Application (A),Differentiate between local storage and cloud storage and explain when each should be used.
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,4. Off-site back-ups,Application (A),Differentiate between the different types of off-site back-ups and characterize when each type should and should not be used.
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,1. Analysis of on-site/off-site/near-site storage options and issues,MASTERY/UGP (M/U),"Establish standards for when on-site, off-site and near-site storage options should be used."
GEOSPATIAL DATA MANAGEMENT,T16. Storage and Retrieval Principles,1. Analysis of on-site/off-site/near-site storage options and issues,MASTERY/UGP (M/U),"Evaluate the issues associated with on-site, off-site, and near-site storage options to develop more efficient and effective storage options."
GEOSPATIAL DATA MANAGEMENT,"T17. Query Tool Fundamentals (e.g., SQL, python)",1. Fundamental database management,Prerequisites (P),"Compare/contrast fundamental database management concepts (e.g., cloud storage, file transfers and backups, encryption, file naming conventions and protocols, etc.)."
GEOSPATIAL DATA MANAGEMENT,"T17. Query Tool Fundamentals (e.g., SQL, python)",2. Fundamental understanding of SQL,Prerequisites (P),"Summarize basic Structured Query Language (SQL) concepts including the purpose of SQL, how SQL functions, how to read and write SQL, and the benefits of SQL over ad-hoc queries."
GEOSPATIAL DATA MANAGEMENT,"T17. Query Tool Fundamentals (e.g., SQL, python)",1. Basic syntax to start practicing SQL and Python,Foundational (F),List the basic syntax used for Structured Query Language (SQL) and Python and the purpose of each.
GEOSPATIAL DATA MANAGEMENT,"T17. Query Tool Fundamentals (e.g., SQL, python)",1. Work in a setting that encourages/ permits extension of knowledge as it relates to query tools,Application (A),Explain when it is necessary to use Structured Query Language (SQL) and Python for querying data.
GEOSPATIAL DATA MANAGEMENT,"T17. Query Tool Fundamentals (e.g., SQL, python)",1. Innovation for implementing query tools,MASTERY/UGP (M/U),Strategize with other professionals to develop innovative methods and techniques for implementing different query tools.
GEOSPATIAL DATA MANAGEMENT,T18. User and Role Management,1. Fundamental user access management,Prerequisites (P),"Compare/contrast fundamental user management concepts (e.g., cloud storage, file transfers and backups, encryption, file naming conventions and protocols, etc.)."
GEOSPATIAL DATA MANAGEMENT,T18. User and Role Management,1. Knowledge of customers,Foundational (F),Compile a list of different types of customers a professional may encounter when performing user and role management duties.
GEOSPATIAL DATA MANAGEMENT,T18. User and Role Management,2. Knowledge of institutional policies,Foundational (F),Summarize the common user and role management policies and why it is important that policies change based on the ability of the institution.
GEOSPATIAL DATA MANAGEMENT,T18. User and Role Management,1. Knowledge of how to create users and group permissions,Application (A),Differentiate between the permissions provided to users and those provided to groups.
GEOSPATIAL DATA MANAGEMENT,T18. User and Role Management,1. Knowledge of how to create users and group permissions,Application (A),Explain how to create users and group permissions when managing data.
GEOSPATIAL DATA MANAGEMENT,T18. User and Role Management,1. Define methods of automating processes for efficiency,MASTERY/UGP (M/U),Evaluate current methods of user and role management to define methods of automating the process for higher efficiency.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,1. How data will be used,Prerequisites (P),Characterize how the purpose of data influences which schema design will be used and how the data is created.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,2. User Feedback of design,Prerequisites (P),Analyze the different types of user feedback that can be provided on schema design.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,1. How are schemas created?,Foundational (F),Explain how schemas are created and why schemas are useful when managing data.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,2. How can they help you?,Foundational (F),
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,3. Review of schema designs,Foundational (F),List the different types of schema designs and explain their uses.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,1. Access to GIS software to view existing schemas and create new schemas,Application (A),Explain how GIS software is used to view existing schemas and how to create new schemas.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,2. Access to data modeling tools,Application (A),Explain how different data modeling tools are utilized to design and create schemas.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,1. Automation,MASTERY/UGP (M/U),Evaluate current methods of designing and creating schemas and determine how automation can be used to expediate the process.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,2. Templates,MASTERY/UGP (M/U),Evaluate current methods for using templates to design and create schemas to develop more effective templates.
GEOSPATIAL DATA MANAGEMENT,T19. Schema Design/Creation,3. Use data modeling tools to manage schema design/creation,MASTERY/UGP (M/U),Develop techniques of using data modeling tools to manage the design and creation of schemas.
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,"1. Basic understanding of spatial statistics, including the distinction between correlation and causation",Prerequisites (P),"Summarize the basic concepts of spatial statistics including Root Mean Square Error (RMSE) testing, Chi-squared testing, spatial autocorrelation, correlation vs. causation, and 2D/3D regression and correlation analysis."
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,1. Spatial autocorrelation,Foundational (F),Explain the purpose of spatial auto-correlation and how the results are utilized.
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,"2. Standard geoprocessing tools and methods (e.g., feature overlays, selections, topological processes, raster processes, data conversion)",Foundational (F),"Summarize how the most common tools and methods are used in data analysis (e.g., feature overlays, selections, topological processes, raster processes, data conversion)."
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,"3. Learn analytical scripting language (e.g., JavaScript)",Foundational (F),"Explain how different analytical scripting languages (e.g., JavaScript) are used in data analysis."
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,1. How to use Python to analyze geospatial data,Application (A),Explain how Python is used to analyze geospatial data.
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,2. The significance of spatial statistics,Application (A),Characterize how the spatial statistic results are utilized to manage data.
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,3. Ability to use programming languages like R and Python to script geospatial analysis,Application (A),"Differentiate between programming languages (e.g., R and Python) and how they are used to script geospatial analysis."
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,1. Learn data science,MASTERY/UGP (M/U),Evaluate standard data science principles and practice to determine how data science can be applied to data management.
GEOSPATIAL DATA MANAGEMENT,T20. Analysis Resulting in Metrics,2. Aggregation through use of Voronoi polygons/Thiessen polygons/Dirichlet regions,MASTERY/UGP (M/U),"Design techniques for aggregating data using Voronoi polygons, Thiessen polygons, and Dirichlet regions."
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,"1. Online/classroom/on the job training regarding tape backups, previous versions, and deleting unnecessary files",Prerequisites (P),"Explain why the concepts of tape backups, previous versions, and deleting unnecessary files are important when archiving data."
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,"1. Online/classroom/on the job training regarding tape backups, previous versions, and deleting unnecessary files",Prerequisites (P),
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,1. Data storage techniques,Foundational (F),List the different data storage techniques and explain their roles in archiving data.
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,2. How to collaborate with IT professionals,Foundational (F),Explain the benefits of collaborating with IT professionals when archiving data.
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,3. Use of metadata for retrieval,Foundational (F),Outline the techniques of using metadata to retrieve data.
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,1. Understanding customer requirements,Application (A),Differentiate the requirements that should be considered when archiving data.
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,"2. Understanding how long data must be available (e.g., expiration policies)",Application (A),"Discern how long data should be available (e.g., expiration policies) based on the type of data and its intended use."
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,1. Automation,MASTERY/UGP (M/U),Evaluate current methods of archiving data and determine how automation can be used to expedite the process.
GEOSPATIAL DATA MANAGEMENT,T21. Archiving Data,2. Use of artificial intelligence to classify needs for access,MASTERY/UGP (M/U),Evaluate current techniques for classifying needs for access and determine how artificial intelligence can be used to expedite the process.
GEOSPATIAL DATA MANAGEMENT,T22. Retrieving Data,1. Data sharing versus data delivery,Prerequisites (P),Distinguish between data sharing and data delivery.
GEOSPATIAL DATA MANAGEMENT,T22. Retrieving Data,2. Creator of data should be maintainer,Prerequisites (P),Explain why it is important for the creator of data to also maintain the data and list the implications it could have if the creator is not the maintainer.
GEOSPATIAL DATA MANAGEMENT,T22. Retrieving Data,1. Archiving versus tiered storage approach,Foundational (F),Distinguish between the archiving and tiered approaches to storing data.
GEOSPATIAL DATA MANAGEMENT,T22. Retrieving Data,2. Metadata for retrieval,Foundational (F),Outline the techniques of using metadata to retrieve data.
GEOSPATIAL DATA MANAGEMENT,T22. Retrieving Data,1. RESTful services for access,Application (A),Discern how REpresentational State Transfer (RESTful) services are utilized for accessing and retrieving data.
GEOSPATIAL DATA MANAGEMENT,T22. Retrieving Data,1. Automation,MASTERY/UGP (M/U),Evaluate current methods of retrieving data and determine how automation can be used to expedite the process.
GEOSPATIAL DATA MANAGEMENT,T22. Retrieving Data,2. Use of artificial intelligence to classify needs for access,MASTERY/UGP (M/U),Evaluate current techniques for classifying needs for access and determine how artificial intelligence can be used to expedite the process.
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,1. Standardized exchange formats and metadata,Prerequisites (P),List the different standardized geospatial data exchange formats and explain how they are used to present metadata.
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,2. Understanding what metadata is,Prerequisites (P),Explain the concept of metadata and describe when and how it is used.
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,1. National Spatial Data Infrastructure (NSDI)standards,Foundational (F),Summarize why it is important to understand the National Spatial Data Infrastructure (NSDI) standards and guidelines when performing metadata maintenance.
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,2. Federal Geographic Data Committee (FGDC) metadata standards,Foundational (F),Summarize why it is important to understand the Federal Geographic Data Committee (FGDC) metadata standards.
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,https://www.fgdc.gov/metadata ,Foundational (F),
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,1. National Spatial Data Infrastructure (NSDI),Application (A),Differentiate which National Spatial Data Infrastructure (NSDI) standards and guidelines relate to metadata maintenance.
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,2. Federal Geographic Data Committee (FGDC) metadata standards (Ability to write clear and understandable metadata),Application (A),Characterize how each of the Federal Geographic Data Committee (FGDC) metadata standards influence metadata maintenance.
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,3. Open Geospatial Consortium (OGC) Standards,Application (A),Characterize how Open Geospatial Consortium (OGC) standards are applied to metadata maintenance.
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,1. Global Spatial Data Infrastructure (GSDI),MASTERY/UGP (M/U),"Evaluate the importance, purpose, and uses of the Global Spatial Data Infrastructure (GSDI)."
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,"2. Federal Geographic Data Committee (FGDC) metadata standards (always includes metadata with any geospatial data, particularly when sharing)",MASTERY/UGP (M/U),"Establish methods for ensuring Federal Geographic Data Committee (FGDC) standards for metadata are followed, especially when sharing geospatial data."
GEOSPATIAL DATA MANAGEMENT,T23. Metadata Maintenance,3. Open Geospatial Consortium (OGC) Standards,MASTERY/UGP (M/U),Establish methods for ensuring the Open Geospatial Consortium (OGC) standards  for metadata maintenance are followed.
GEOSPATIAL DATA MANAGEMENT,T24. Data Privacy and Confidentiality Considerations,1. The distinction between privacy and confidentiality,Prerequisites (P),Differentiate between data privacy and data confidentiality.
GEOSPATIAL DATA MANAGEMENT,T24. Data Privacy and Confidentiality Considerations,"1. Applicable laws specific to the field (e.g., Health Insurance Portability and Accountability Act of 1996 [HIPAA])",Foundational (F),"List and summarize the different laws that deal with data privacy and confidentiality (e.g., Health Insurance Portability and Accountability Act of 1996)."
GEOSPATIAL DATA MANAGEMENT,T24. Data Privacy and Confidentiality Considerations,2. Personally Identifiable Information (PII),Foundational (F),Summarize the concept of Personally Identifiable Information (PII) and explain why it is important when considering data privacy and confidentiality.
GEOSPATIAL DATA MANAGEMENT,T24. Data Privacy and Confidentiality Considerations,3. Knowledge of institutional policies,Foundational (F),Summarize the common data privacy and confidentiality policies and why it is important that policies change based on the ability of the institution.
GEOSPATIAL DATA MANAGEMENT,T24. Data Privacy and Confidentiality Considerations,"1. Applicable laws specific to the field (e.g., Health Insurance Portability and Accountability Act of 1996 [HIPAA])",Application (A),"Differentiate the various laws that deal with data privacy and confidentiality (e.g., Health Insurance Portability and Accountability Act of 1996 [HIPAA])."
GEOSPATIAL DATA MANAGEMENT,T24. Data Privacy and Confidentiality Considerations,2. Personally Identifiable Information (PII),Application (A),Characterize what constitutes Personally Identifiable Information (PII) and when PII should and should not be shared.
GEOSPATIAL DATA MANAGEMENT,T24. Data Privacy and Confidentiality Considerations,1. Advanced study of ethics,MASTERY/UGP (M/U),Establish and explain the importance of ethics when dealing with data privacy and confidentiality.
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,1. Principles of encryption,Prerequisites (P),"Summarize the principles of data encryption (e.g., obfuscation, encryption methods, public key vs. private key, etc.)."
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,2. Public key versus private key,Prerequisites (P),Differentiate between a public key and private key encryption and why each method is used.
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,1. Commercially available encryption tools,Foundational (F),List some of the different commercially available data encryption tools and explain their uses.
